lat_idx,latitude,lon_edge_km,time_resolution_lon,lat_edge_km,time_resolution_lat
0,-86.4845,38.3410709877378,0.1,625.5270598389649,1.0
1,-80.859,99.33520514536046,0.16666666666666666,625.4158649123207,1.0
2,-75.2345,159.3641742052621,0.25,625.5270598389649,1.0
3,-69.609,217.87223411157754,0.3333333333333333,625.4158649123207,1.0
4,-63.9845,274.2760897206653,0.5,625.5270598389649,1.0
5,-58.359,328.05297713647997,0.5,625.4158649123207,1.0
6,-52.7345,378.666071880875,0.5,625.5270598389643,1.0
7,-47.109,425.64551448271175,1.0,625.4158649123214,1.0
8,-41.4845,468.5215504581676,1.0,625.5270598389643,1.0
9,-35.859,506.8953886696377,1.0,625.4158649123207,1.0
10,-30.2345,540.3826351737658,1.0,625.5270598389653,1.0
11,-24.609,568.6712373712104,1.0,625.4158649123207,1.0
12,-18.9845,591.4773613198322,1.0,625.5270598389651,1.0
13,-13.359,608.588151624863,1.0,625.4158649123204,1.0
14,-7.7345,619.8317147645056,1.0,625.5270598389651,1.0
15,-2.109,625.1030033735112,1.0,625.4158649123204,1.0
16,3.5155,624.3490283843911,1.0,625.5270598389651,1.0
17,9.141,617.5768364242406,1.0,625.4158649123204,1.0
18,14.7655,604.8545012379265,1.0,625.5270598389649,1.0
19,20.391,586.3008751601043,1.0,625.4158649123207,1.0
20,26.0155,562.1023229734217,1.0,625.5270598389653,1.0
21,31.641,532.4846572169795,1.0,625.4158649123207,1.0
22,37.2655,497.744991299839,1.0,625.5270598389649,1.0
23,42.891,458.2069759775141,1.0,625.4158649123207,1.0
24,48.5155,414.266579266818,1.0,625.5270598389649,1.0
25,54.141,366.33239274599043,0.5,625.4158649123207,1.0
26,59.7655,314.8836115113436,0.5,625.5270598389649,1.0
27,65.391,260.3977458631121,0.5,625.4158649123207,1.0
28,71.0155,203.41859560322914,0.3333333333333333,625.5270598389649,1.0
29,76.641,144.47416588948994,0.25,625.4158649123207,1.0
30,82.2655,84.15202859385244,0.14285714285714285,625.5270598389649,1.0
31,87.891,23.01058998267136,0.1,625.5270598389649,1.0
