index,longitude
0,-176.4845
1,-170.859
2,-165.2345
3,-159.609
4,-153.9845
5,-148.359
6,-142.7345
7,-137.109
8,-131.4845
9,-125.859
10,-120.2345
11,-114.609
12,-108.9845
13,-103.359
14,-97.7345
15,-92.109
16,-86.4845
17,-80.859
18,-75.2345
19,-69.609
20,-63.9845
21,-58.359
22,-52.7345
23,-47.109
24,-41.4845
25,-35.859
26,-30.2345
27,-24.609
28,-18.9845
29,-13.359
30,-7.7345
31,-2.109
32,3.5155
33,9.141
34,14.7655
35,20.391
36,26.0155
37,31.641
38,37.2655
39,42.891
40,48.5155
41,54.141
42,59.7655
43,65.391
44,71.0155
45,76.641
46,82.2655
47,87.891
48,93.5155
49,99.141
50,104.7655
51,110.391
52,116.0155
53,121.641
54,127.2655
55,132.891
56,138.5155
57,144.141
58,149.7655
59,155.391
60,161.0155
61,166.641
62,172.2655
63,177.891
